question,answer
"What is the difference between_m256iand_m256dand_m256? andWhat is the difference between_m128iand_m128dand_m128?
","Rule of thumb: anisuffix is used for allintegervector types,dis fordouble precisionfloating point vector types, and when there is no suffix it's forsingle precisionfloating point vector types.
"
"Using Eclipse, working with (ANSI) C language, is there any way to view the values that pointers are pointing on from debug?

Thanks
","I haven't used Eclipse in years, but isn't there a ""watch"" window, where you can add variables to watch? In that case you should be able to just put*pointerin there.
"
"Under Windows I use MultiByteToWideChar(CP_ACP, ...) and WideCharToMultiByte(CP_UTF8, ...) for the conversion.

How do I do the same thing under OS X and Linux? I tried mbstowcs/wcstombs but the resulting char* is not UTF-8.
","Look intoiconv(3). that's the api you want. You'll need-liconv.
"
"if possible then how to return more than one value.
It can not be because of return is done through Accumulator in controller or CPU.

Is this is the correct reason?
","Because that's how the language is defined.  There is no fundamental reason; other languages can return multiple values (e.g. Matlab).

As a ""workaround"", you can return a struct that contains multiple fields.
"
"According to K&R C section 1.6, acharis a type of integer. So why do we need%c. And why can't we use%dfor everything?
","Because%dwill print the numeric character code of thechar:

```
printf(""%d"", 'a');
```

prints97(on an ASCII system), while

```
printf(""%c"", 'a');
```

printsa.
"
"What is the difference between_m256iand_m256dand_m256? andWhat is the difference between_m128iand_m128dand_m128?
","Rule of thumb: anisuffix is used for allintegervector types,dis fordouble precisionfloating point vector types, and when there is no suffix it's forsingle precisionfloating point vector types.
"
"Using Eclipse, working with (ANSI) C language, is there any way to view the values that pointers are pointing on from debug?

Thanks
","I haven't used Eclipse in years, but isn't there a ""watch"" window, where you can add variables to watch? In that case you should be able to just put*pointerin there.
"
"How can I dump all the global variables and the address offsets in my executable?

This is on os x, app developed with xcode compiled with gcc.

Thank you
","If Compiled to Mach-O

Either useotoolor thecctools.

If Compiled to ELF

You should be able to do this withobjdumpand/orreadelf.

I don't have a *nix system at hand here, butobjdump -s -j .datashould be getting you rather close enough.
"
"Is there any way to know / warn if a global variable is uninitialized with gcc ?

I got it for local/ atomic variables “-Wuninitialized”
","No!Global and static variables are initialized implicitly if your code doesn't do it explicitly as mandated by the C standard.In short, global and static variables are never left uninitialized.
"
"I understand how to create astructon the heap usingmalloc. Was looking for some documentation regarding creating astructin C on the stack but all docs. seem to talk about struct creation on heap only.
","The same way you declare any variable on the stack:

```
struct my_struct {...};

int main(int argc, char **argv)
{
    struct my_struct my_variable;     // Declare struct on stack
    .
    .
    .
}
```
"
"Suppose I have the following structs:

```
struct A{
    int a;
} a;

struct B{
    A a;
    int b;
} b;
```

how to check ifbis of typeBor ifbis of the typeA?
","Do you mean at runtime, given avoid *that points to one or the other? Unfortunately, this is not possible; C doesn't have any kind of runtime type information mechanism.
"
"How can I get the current total allocated memory so far (in a Linux process inC/C++ (gcc))?
","Try parsing/proc/self/mapsor/proc/$PID/maps. Look for a line marked[heap].
"
"When I sendWM_SETREDRAWto disable redraw for a window, how do I ""restore"" the previous state when I'm done?

What's the proper way to send this message?
","You can'trestore the previous state, as there is no way to access the current state. There is noWM_GETREDRAW. Once you are done you sendWM_SETREDRAWagain withTRUEas an argument this time, and if anyone else had set redraw toFALSEon an outer scope then well.. that's bad for them..
"
"I have a number like this:int num = 36729;and I want to get the number of digits that compose the number (in this case 5 digits).

How can I do this?
","Use this formula:

```
if(num)
  return floor(log10(abs((double) num)) + 1);

return 1;
```
"
"Indouble (*foo)[2]what does the[2]represent? And how would I convert an array as such to an array of float* in C?
","```
double (*foo)[2]
```

foois a pointer to an array of twodoubleelements.

For example:

```
double bla[2];
double (*foo)[2] = &bla;
```
"
"I have an array of int and i have to initialize this array with the value -1. For now i use this loop:

```
int i;
int myArray[10];

for(i = 0; i < 10; i++)
    myArray[i] = -1;
```

There are faster ways?
","The quickest way I know for the value-1(or0) ismemset:

```
int v[10];
memset(v, -1, 10 * sizeof(int));
```

Anyway you can optimize the loop in this way:

```
int i;
for(i = 10; i--;)
    v[i] = -1;
```
"
"I have to write a C program to convert XML file to WBXML format, without using external conversion library. Is it possible?

I have created the XML file in C and now want to convert it into WBXML file.
","You want to know if it is possible? - Yes.

You want to know how? - check the implementation of one of theexternal libraries. I'm sure you can get an idea if you browse the source code.
"
"I often see something likeattributein error messages. What is this? Are there any similar things like thisattribute? Can anyone give me a detailed explanation?
","It is aGCC extensionwhich allows a developer to attach characteristics to function declarations to allow the compiler to perform more error checking.

Detailed Explanation also foundhereandhere. A set of GCC extensions for C can be foundhere.
"
"How do I get the key codes so I can process arrow, pageUp, pageDown, etc, keys using simple C or C++?

I can get the regular keys, I do not know how to get these special keys.
","Ncurses should be able to handle that. There is lots of tutorials out there
"
"When I attach gdb to a process that uses many source files, such as PHP, sometimes I want to set a breakpoint on line x of file y. How do I specify the file for gdb?
","It's as simple as:

```
b filename.c:XYZ
```

Seethe documentationfor more info.
"
"How do I get the key codes so I can process arrow, pageUp, pageDown, etc, keys using simple C or C++?

I can get the regular keys, I do not know how to get these special keys.
","Ncurses should be able to handle that. There is lots of tutorials out there
"
"someone please tell me which one of the following is more fast and why ??

```
int add(int a, int b){
     return a+b;
}
```

OR

```
void add(int a, int *b){
     *b = a+(*b);
}
```
","Chances are functions areinlinedand both result in the same generated code.
"
"What kind of API or algorithm is normally used to generate session ids? For something like an online game?
Thanks
","You can useUUID-v4. Implementations are available in pretty much any language. Here is one for C++:

http://sourceforge.net/projects/ooid/
"
"I saw the following code in CCTL (~line 330)https://github.com/jobytaffey/cctl/blob/master/cctl/main.c

```
switch(page)
{
   // ...
   ack:
      cons_putc(0);
}
```

What is theack:section for?  It looks like same asdefault:to me.  I can't find it in the SDCC docs either.

Is this something in C spec?

Thank you
","It's not a C keyword; it's just a label.  Note the correspondinggotostatements.
"
"This question already has answers here:Closed11 years ago.

Possible Duplicate:Why do these two pointer subtractions give different results?

```
char arr[] = ""stackoverflow"";
char *p1 = arr;
char *p2 = arr + 3;
printf(""%d"",  (int*)p2 - (int*)p1);
```

it's answer is 0..Can you explain why is it so ?
","Becausep2 - p1is<  sizeof (int). So(int *) p2 - (int *) p1 == 0, the number ofintelements between the two pointers.
"
"Do I need to include a library? 
Can anyone please elaborate in it?

I know is used to get the process id of the current task where is being called from

But I want to printk something with current->pid

printk(""My current process id/pid is %d\n"", current->pid);

...and is giving me an error

error: dereferencing pointer to incomplete type
","You're looking for#include <linux/sched.h>. That's wheretask_structis declared.
"
"I'm writing code that depends on whether or not a header file is included.  If the file is included, I want certain added functionality.  Is there any way to do this, perhaps with an #if?  Using C btw
","Just#definea symbol in that header and use#ifdeflater on.

```
header.h
#define HAVE_IPV6

some_file.c
#ifdef HAVE_IPV6
/* code */
#endif
```
"
"I saw the following code in CCTL (~line 330)https://github.com/jobytaffey/cctl/blob/master/cctl/main.c

```
switch(page)
{
   // ...
   ack:
      cons_putc(0);
}
```

What is theack:section for?  It looks like same asdefault:to me.  I can't find it in the SDCC docs either.

Is this something in C spec?

Thank you
","It's not a C keyword; it's just a label.  Note the correspondinggotostatements.
"
"This question already has answers here:Closed11 years ago.

Possible Duplicate:Why do these two pointer subtractions give different results?

```
char arr[] = ""stackoverflow"";
char *p1 = arr;
char *p2 = arr + 3;
printf(""%d"",  (int*)p2 - (int*)p1);
```

it's answer is 0..Can you explain why is it so ?
","Becausep2 - p1is<  sizeof (int). So(int *) p2 - (int *) p1 == 0, the number ofintelements between the two pointers.
"
"Do I need to include a library? 
Can anyone please elaborate in it?

I know is used to get the process id of the current task where is being called from

But I want to printk something with current->pid

printk(""My current process id/pid is %d\n"", current->pid);

...and is giving me an error

error: dereferencing pointer to incomplete type
","You're looking for#include <linux/sched.h>. That's wheretask_structis declared.
"
"I'm writing code that depends on whether or not a header file is included.  If the file is included, I want certain added functionality.  Is there any way to do this, perhaps with an #if?  Using C btw
","Just#definea symbol in that header and use#ifdeflater on.

```
header.h
#define HAVE_IPV6

some_file.c
#ifdef HAVE_IPV6
/* code */
#endif
```
"
"I have a call likeclock_gettime(CLOCK_REALTIME), does it handle leap seconds? If not, what changes are required? Working on Solaris.
","If your Unix system is synchronized with NTP, chances are that it handles leap seconds.

See this article for more information:NTP Leap Second.
"
"I have very simple xml

```
<root>
    <node>some value</node>
</root>
```

How can I get the serialized HTML fragment, using libxml and C. I mean same as you can get usingouterHTMLin JS (document.getElementsByTagName(""node"")[0].outerHTML).
","You have to usexmlNodeDump. Or if you want to print node out to file/stdout, then usexmlElemDump
"
"As the title said, I have a task that I need to read data from excel files. I'm wondering how to implement it in pure C, not C++ or C#. Btw, I need to write and test the program in Linux but others may use the code in Windows, which means my code has to be OS independent. Thank you.
","Check outhttp://xlslib.sourceforge.net/
"
"If I use macros in my C code, such as

```
#define var 10
```

then where exactly are the stored in the space allocated to the process by the kernel?
In heap or BSS or global data? Or is it just a text replacement for var in one of the compiler passes?
","Yes.the last one

just a text replacement

It is performed by a preprocessing pass.
Some good details can be foundhere
"
"Is the stack allocated at runtime or compile time?Example:

```
void main()
{
    int x;
    scanf(""%d"", &x);
    int arr[x];
}
```
","Stack isallocatedat runtime; layout of each stack frame, however, is decided at compile time, except for variable-size arrays.
"
"When I want to work with big and small digits how must I sum / compare values in C?

```
#include <stdio.h>
#include <math.h>

int main(void) {
    if (1.0 + (1/pow (10,50)) == 1.0)
        printf(""true"");
    else
        printf(""false"");
    return 0;
}
```

how to make it to return false?
","You can't make it return false with standard C types.  You'll need to use a high-precision floating point library.
"
"I'm curious because the man page of connect(2) is pretty short and it takes a struct sockaddr* which is normally cast anyways..
","sockaddr_inandin_addraren't even similar. There's no way that would work. There different because more than an address is usually needed. For example, a port number is needed to establish connect a IP socket.
"
"DigiFlow is used for image processing for fluid dynamics experiments -DigiFlow website. There is a console within the program which is used for writing macros.

Some example code:

```
function do_this(variable) {variable += 2};
    output := do_this(5);
```

(output = 7 after running this.)
","From assignment and function declaration I'd say it looks like Google'sgo language. Pascal might be another choice.
"
"This question already has an answer here:Closed11 years ago.

Possible Duplicate:What is the C Equivalent of Python's pack(“<I”, 0)

How can I replicate the code in Python:

```
from struct import pack
string = pack(""<I"", 0x11111111)
print string
```

in C? From what I understand \x11 is a nonprintable character so...?
","```
const char *string = ""\x11\x11\x11\x11"";
puts(string);
```
"
"This question already has an answer here:Closed11 years ago.

Possible Duplicate:What is the C Equivalent of Python's pack(“<I”, 0)

How can I replicate the code in Python:

```
from struct import pack
string = pack(""<I"", 0x11111111)
print string
```

in C? From what I understand \x11 is a nonprintable character so...?
","```
const char *string = ""\x11\x11\x11\x11"";
puts(string);
```
"
"Given:

```
int a[N];
int *p;
```

why doesa-pwork yeta+pdoes not with error: ""invalid operands to binary +"".
","Thedifferencebetween two pointers is meaningful, i.e. it is the number of elements between the two pointers (provided that they both lie within the same array).

Addingtwo pointers makes no sense though (how would you interpret it ?).
"
"I have a repository. I don't want to checkout the whole repository but just one folder inside it. I don't remember the folder names, so I want to see them. Is there a command in svn which can show all the folder names in the root directory of the repository.
","Have you triedsvn ls http://repo.url/here?
"
"Given:

```
int a[N];
int *p;
```

why doesa-pwork yeta+pdoes not with error: ""invalid operands to binary +"".
","Thedifferencebetween two pointers is meaningful, i.e. it is the number of elements between the two pointers (provided that they both lie within the same array).

Addingtwo pointers makes no sense though (how would you interpret it ?).
"
"I have a repository. I don't want to checkout the whole repository but just one folder inside it. I don't remember the folder names, so I want to see them. Is there a command in svn which can show all the folder names in the root directory of the repository.
","Have you triedsvn ls http://repo.url/here?
"
"It's difficult to tell what is being asked here. This question is ambiguous, vague, incomplete, overly broad, or rhetorical and  cannot be reasonably answered in its current form. For help clarifying this question so that it can be reopened,visit the help center.Closed11 years ago.

What is the meaning of ""f"" in C's printf?
","Thefinprintfstands forformatted, its used for printing with formatted output.
"
"How could I go about writing a Haskell library to provide input functionality similar to that provided by SDL or GLFW? Specifically, how would I go about grabbing device events (e.g. mouse, keyboard, joystick) and system events (e.g. quit, resize, window move, focus).
","Make FFI bindings to the primitives provided by the platform (or library) you're building on.Use these primitives to implement higher level abstractions.
"
"I want creat a C program for Unix that can porcess the Regular Expression,like a simple Perl interpreter. Do I have to personally write an regexp engine?
","http://www.gnu.org/software/libc/manual/html_node/Regular-Expressions.html

You might like to look for a library with it already coded. C uses librarys to allow you to include other peoples code into your work. I assume there are many regular expression librarys for you to use already to go!
"
"Embarrassingly basic question.sudo apt-get install libmemcached6- where do the .h's and .o's or .so's live in a typical install on a Linux machine (Ubuntu)?  And, how do I make sure g++ can pick them up?
","They go to /usr/include and /usr/lib. If you use the -l option (for the libraries) it should find them from these standard places. If you include using<file.h>it should also get it from the right place.
"
"There is a function I have written in C that I would like to use in the debugger to send commands to a javascript engine. Since this function is not used directly in code the linker strips this symbol. Is there a way to mark a particular function to not be stripped?
","Found it!

http://disanji.net/iOS_Doc/#documentation/DeveloperTools/Conceptual/XcodeBuildSystem/500-Linking/bs_linking.html

declaration should have

```
__attribute__((used))
```
"
"There is a function I have written in C that I would like to use in the debugger to send commands to a javascript engine. Since this function is not used directly in code the linker strips this symbol. Is there a way to mark a particular function to not be stripped?
","Found it!

http://disanji.net/iOS_Doc/#documentation/DeveloperTools/Conceptual/XcodeBuildSystem/500-Linking/bs_linking.html

declaration should have

```
__attribute__((used))
```
"
"Namely code similar to this, making the printout undefined.

```
int a=41; a++ & printf(""%d\n"", a);
```

I don't know what exactly this operation is called.
","The problem is that it is not specified which is evaluated first, theprintfor thea++, and since one has a side effect on the other (you either readathen write it then read it again, or read it then read it then write it), you get undefined behaviour.
"
"Namely code similar to this, making the printout undefined.

```
int a=41; a++ & printf(""%d\n"", a);
```

I don't know what exactly this operation is called.
","The problem is that it is not specified which is evaluated first, theprintfor thea++, and since one has a side effect on the other (you either readathen write it then read it again, or read it then read it then write it), you get undefined behaviour.
"
"Namely code similar to this, making the printout undefined.

```
int a=41; a++ & printf(""%d\n"", a);
```

I don't know what exactly this operation is called.
","The problem is that it is not specified which is evaluated first, theprintfor thea++, and since one has a side effect on the other (you either readathen write it then read it again, or read it then read it then write it), you get undefined behaviour.
"
"I'm looking for a cross-platform(works at UNIX-like and Windows) library to handling operating system date. Is there it for C programmers? or C++ if really have no for C. Thanks in advance!
","Perhaps you should tryBoost.Date_Time.
"
"please find thecodefor the service created to detect my USB device.

The problem in the above code is that the logfile is getting updated only after the service is stopped.

My intension is to update the log file once the device is detected.. But it happens only after the service is stopped. how to achieve what i intend to?

please guide me..
","To avoid losing log entries, you need to flush thefwrites .

fflush(your file handle )
"
"please find thecodefor the service created to detect my USB device.

The problem in the above code is that the logfile is getting updated only after the service is stopped.

My intension is to update the log file once the device is detected.. But it happens only after the service is stopped. how to achieve what i intend to?

please guide me..
","To avoid losing log entries, you need to flush thefwrites .

fflush(your file handle )
"
"Does calloc allocate return  contiguous memory location? If yes, what would it do if it is not available?
","Does calloc allocate returns contiguous memory location?

Yes.1

what would it do if it is not available?

ReturnNULL.

See section 7.20.3.1 of the C99 standard.



1. So far as the C program is concerned.  In a virtual memory system, the underlying physical memory used may not be contiguous.
"
"I'm reading through some code for an Arduino example and I came across this line:

uint16_t pulses[100][2];

It appears that this is defining a 100x2 array -- is that correct?
","You are correct. It defines a 100x2 array of unsigned 16 bit integers.
"
"How to get the id of a specific edge with two of its vertex?

Example:

egde id=4 with vertex 2 and 3, using id 2 and 3 vertex how to get the id=4 of that edge?
","igraph_get_eidis the function you are looking for.
"
"How to get the id of a specific edge with two of its vertex?

Example:

egde id=4 with vertex 2 and 3, using id 2 and 3 vertex how to get the id=4 of that edge?
","igraph_get_eidis the function you are looking for.
"
"I know that in h264 we can detect a NAL Unit by the bit pattern0x000001.

Is there an equivalent method to detect a slice header in a NAL Unit? How does one handle multi-slice NAL units?

Currently I'm using parsing code for h264 and get the slice header in a respective structure.
","The slice header syntax is discussed on page 36 (section 7.3.3) of theH.264 standard.

It might be worth having a look at thereference software.
"
"I have the following C statement:

```
int res = x & (x ^ y);
```

Is there a way to do the same thing, but usingxandyonly one time each?

For example:

```
x | (~x & y) == x | y
```
","Yes, by expanding the xor (a ^ b == (a & ~b) | (~a & b)), and then simplifying the result, one gets:

```
res = x & ~y;
```
"
"I need a library to list files in archives  and to extract archive files. The library should support archive types as much as possible. Do you have any suggestion ?

Any help would be appreciated.
","This sounds like you are looking for libarchivehttp://libarchive.github.com/
"
"I have the following C statement:

```
int res = x & (x ^ y);
```

Is there a way to do the same thing, but usingxandyonly one time each?

For example:

```
x | (~x & y) == x | y
```
","Yes, by expanding the xor (a ^ b == (a & ~b) | (~a & b)), and then simplifying the result, one gets:

```
res = x & ~y;
```
"
"I have the following C statement:

```
int res = x & (x ^ y);
```

Is there a way to do the same thing, but usingxandyonly one time each?

For example:

```
x | (~x & y) == x | y
```
","Yes, by expanding the xor (a ^ b == (a & ~b) | (~a & b)), and then simplifying the result, one gets:

```
res = x & ~y;
```
"
"I need a library to list files in archives  and to extract archive files. The library should support archive types as much as possible. Do you have any suggestion ?

Any help would be appreciated.
","This sounds like you are looking for libarchivehttp://libarchive.github.com/
"
"I came across the below declaration ; what will be the scope of this MACRO ?

```
typedef struct Hdr_s {
#define MACRO1   1
#define MACRO2       2
#define MACRO3   3
unsigned char  Flag;          
unsigned char  Offset; 
unsigned short cpy_len_offset;
unsigned char  cpy_offset;
}Hdr_t;
```
","A macro definition remains for the whole remainder of the compilation, and macros aren't scoped.
"
"I needed to execute a loop and a condition in every second or in the interval of a few milliseconds. What can I do to achieve this?
","```
#include <unistd.h>
```

usleepfor POSIX platform (hight precision sleep)
"
"Is it possible to hack the Chrome (more precisely the Webkit's), through an extension, in order to use my own media server instead of Google's one?

It's needed to make realtime voice interactive app and I'm looking to an alternatives instead of doing this in flash or a Java Applet.
","I found (for my projects) that usingVideoIO.swfandRTMPLiteis far easier and more portable solution.
"
"I knowgetppidretrieves the parent pid of the underlying program, but how can you tell this out of that program? I can't find anything useful in/proc/[pid], or is there any useful API that i can use?

UPDATE

I mean , i'm inspecting these procress with another process , so getppid won't work here
","It is the fourth field in /proc/[pid]/stat. It is documented in the man pageproc(5).
"
"I know some difference between char* and char[].char x[] = ""xxxx""Is an array of chars;char *y = ""xxxx""is a pointer to the literal (const) string;
Andx[4]=='\0', and*(y+4) == '\0'too.
So whysizeof(x)==5andsizeof(y)==4?
","char x[] = ""xxxx""is an array of size 5 containing x x x x and \0.

char *y = ""xxxx""is a pointer to a string. It's length is 4 bytes, because that is the length of the pointer, not the string.
"
"One of my questions, as I'm pretty new to C is about ways to avoid getting the duplication error. Basically, when I build the project in Netbeans if I have the file in the project and also include it, I get that error.

Defining the functions static, is a correct way to avoid it? What other solutions are there? Thanks
",".c/.cppfiles shouldn't be included.

Move declarations to a common header file and include that.
"
"Say I have this file:http://www.example.com/somepic.png

Is there a cross platform C or C++ library that could easily allow me to download it to a specified directory?

Thanks
","You can uselibcurlto do this.
"
"I knowgetppidretrieves the parent pid of the underlying program, but how can you tell this out of that program? I can't find anything useful in/proc/[pid], or is there any useful API that i can use?

UPDATE

I mean , i'm inspecting these procress with another process , so getppid won't work here
","It is the fourth field in /proc/[pid]/stat. It is documented in the man pageproc(5).
"
"I know some difference between char* and char[].char x[] = ""xxxx""Is an array of chars;char *y = ""xxxx""is a pointer to the literal (const) string;
Andx[4]=='\0', and*(y+4) == '\0'too.
So whysizeof(x)==5andsizeof(y)==4?
","char x[] = ""xxxx""is an array of size 5 containing x x x x and \0.

char *y = ""xxxx""is a pointer to a string. It's length is 4 bytes, because that is the length of the pointer, not the string.
"
"One of my questions, as I'm pretty new to C is about ways to avoid getting the duplication error. Basically, when I build the project in Netbeans if I have the file in the project and also include it, I get that error.

Defining the functions static, is a correct way to avoid it? What other solutions are there? Thanks
",".c/.cppfiles shouldn't be included.

Move declarations to a common header file and include that.
"
"Say I have this file:http://www.example.com/somepic.png

Is there a cross platform C or C++ library that could easily allow me to download it to a specified directory?

Thanks
","You can uselibcurlto do this.
"
"I did search but I did't find any BPF code to use on my computer, also there isn't any example code to use. My goal is to find low level functions to filter packets. I am working in C program language. I am using Ubuntu 12.04 with 3.2.0 kernel.
","You may want to look into thepcaplibrary, from the folks who brought you tcpdump. Pcap is a cross-platform packet filtering library with support for BPF filters.
"
"I need to panic kernel after some operations are done and verify what operation did

Can some one help me to know if there is any way? I searched a lot but no luck

I am looking for some generic call

thanks in Advance!
","You can try asysrq trigger:

```
echo c > /proc/sysrq-trigger
```

'c' - Will perform a system crash by a NULL pointer dereference.
        A crashdump will be taken if configured.
"
"Let us say in some part of the code that a macro has been defined. During compilation, I want to learn if it has been defined and is being used. How might I do this?
","Check with#ifndefdirective and throw an error with#errordirective :

```
#ifndef A_MUST_HAVE_MACRO
#error ""A must have macro not defined""
#endif
```
"
"I am trying to write a code that can get the names of the installed drivers in my Windows computer in C (via winapi)?

I am really new to C and I do not know what I can do ? Can you please help me with this situation ?

Thank you very much
","You need the setup API. Start with this article:How to enumerate hardware devices by using SetupDi calls
"
"As per my understanding there are two RSA signature schemes - PSS (Probabilistic Signature Scheme) and the old PKCS1-v1_5:

Can I use RSA_verify() API to check RSA signature under both schemes ?
","If you have a recent version - see:http://fixunix.com/openssl/526614-signing-verifying-messages-rsassa-pss.htmlfor how to use it.
"
"I have downloaded rx. Can somebody please tell of a suitable ide for debugging and building the source code of ""rdf-3x"". As per the operating system: ubuntu & Windows are both fine for me.

I tried netbeans (C++) but it does not work for me, since it does not treat all the folders within as one project, rather it treats them as separate projects.
","I'm using Eclipse..

It's user friendly for me..You can try it.http://www.eclipse.org/cdt/

CMIIW
"
"Can any one tell me how to typecast achar*pointer toint*in OpenCL kernel function??
I tried((int*) char_pointer)but it is not working.
","You have to qualify the pointer with the correct address space, I think.

If you don't specify the address space,__privateis assumed, but your source pointer seems to be a__globalpointer (from your comment), so the address spaces are incompatible.

So try to use(__global int*)instead of just(int*).
"
"is there an open implementation for an aztec 2D barcode (for the Deutsche Bundesbahn) generator. I do not need the ""aztec-data to bitmap"", but i need the ""input-data to aztec-data"" part, the drawing itself is no problem with drawing primitives.
","ZXingalso supports Aztec encoding since version 2.2.
"
"This question already has answers here:How would I load a PNG image using Win32/GDI (no GDI+ if possible)?(5 answers)Closed9 years ago.

Very simple question: how do I render a png image with GDI in C (including its transparencies)?
","I went with GDI+ instead of GDI.
"
"Can any one tell me how to typecast achar*pointer toint*in OpenCL kernel function??
I tried((int*) char_pointer)but it is not working.
","You have to qualify the pointer with the correct address space, I think.

If you don't specify the address space,__privateis assumed, but your source pointer seems to be a__globalpointer (from your comment), so the address spaces are incompatible.

So try to use(__global int*)instead of just(int*).
"
"is there an open implementation for an aztec 2D barcode (for the Deutsche Bundesbahn) generator. I do not need the ""aztec-data to bitmap"", but i need the ""input-data to aztec-data"" part, the drawing itself is no problem with drawing primitives.
","ZXingalso supports Aztec encoding since version 2.2.
"
"This question already has answers here:How would I load a PNG image using Win32/GDI (no GDI+ if possible)?(5 answers)Closed9 years ago.

Very simple question: how do I render a png image with GDI in C (including its transparencies)?
","I went with GDI+ instead of GDI.
"
"Is there a way to tell (on UNIXes) which of a process's memory pages are in the RAM and which have been swapped out?
","Not in a portable way.

Even if it were possible, it would be mostly useless. A page you have checked is swapped in could very well be swapped out the moment you are ready to use it.
"
"What is the direct alternative for thevsnwprintffunction on linux machines and what headers should be included to use it?

Thanks for any advice
","It depends on whatvsnwprintf()(sic)does and what is its parameter list.

TheC99 Standarddescribesvswprintf()(in section 7.24.2.7). To use it you need to #include<stdarg.h>and<wchar.h>. The implementation should be in the Standard library.
"
"I need to pass some arguments to my application,that include the - symbol. The problem is if I passgdb a.out -foo baa, the gdb understand that the arguments are for it, and not to my application. How to fix this?
","gdb -q a.outinside gdb:run -foo baaTip: -q option for gdb suppresses the introductory copyright messages.
"
"this is a simple question ... is there a way to convert astruct tm ct;to a long integer ? here's how my code look like:

```
struct tm ct;
    scanf(""%d"", &ct.tm_sec);
    scanf(""%d"", &ct.tm_min);    
    scanf(""%d"", &ct.tm_hour);
    scanf(""%d"", &ct.tm_mday);
    scanf(""%d"", &ct.tm_mon);
    scanf(""%d"", &ct.tm_year);
```
","You can use themktime()function to convert astruct tminto atime_t, which is an integer value.
"
"I run a program with LD_PRELOADing a specific library. Like this.

```
LD_PRELOAD=./my.so ./my_program
```

How do I run this program withgdb?
","Do the following.

```
gdb your_program

(gdb) set environment LD_PRELOAD ./yourso.so
(gdb) start
```
"
"What is the direct alternative for thevsnwprintffunction on linux machines and what headers should be included to use it?

Thanks for any advice
","It depends on whatvsnwprintf()(sic)does and what is its parameter list.

TheC99 Standarddescribesvswprintf()(in section 7.24.2.7). To use it you need to #include<stdarg.h>and<wchar.h>. The implementation should be in the Standard library.
"
"```
int a[2]={1210,15};

    printf(""%d"",a[33] );
```

OUTPUT

```
1073828132
```

Why it's not throwing error when i'm trying to printa[33]even though the array element doesn't exist
","Because C does not do bounds-checking.

You will just be reading an arbitrary location in yourcall stack.
"
"In which section is constant volatile variable stored in c.? In micro-controllers we should put such kind of variables in RAM. Right?
","Volatilehas noting to do with where the variable is stored. It just tells the compiler to read the variable from memoryevery timeto avoid any optimization that compiler might perform for that variable.
"
"```
int a[2]={1210,15};

    printf(""%d"",a[33] );
```

OUTPUT

```
1073828132
```

Why it's not throwing error when i'm trying to printa[33]even though the array element doesn't exist
","Because C does not do bounds-checking.

You will just be reading an arbitrary location in yourcall stack.
"
"In which section is constant volatile variable stored in c.? In micro-controllers we should put such kind of variables in RAM. Right?
","Volatilehas noting to do with where the variable is stored. It just tells the compiler to read the variable from memoryevery timeto avoid any optimization that compiler might perform for that variable.
"
"I tried this but it's not working for me:

```
char * remove_nl(char * newstr)
{
    newstr = strdup(newstr);
    newstr[strlen(newstr)-1] = '\0';
    return newstr;
}
```
","What you have now is fine, except:

you have to make sure thatnewstrpoints to a valid string;check thatstrlen(newstr) > 0;check thatnewstr[strlen(newstr)-1]is indeed a newline before wiping it;make sure the callerfree()s the returned string.
"
"Canglibcbe compiled into one object file which can then be linked to any program. The main purpose is portability here. Because I don't require to install dynamic libraries this way. Can this be done? If so, how?
","You can compileglibcto.afiles which can be linked into a static executable. The static libraries are built by default.
"
"I was looking into some old code in my product and i found following code.

```
#include <stdio.h>
#include <string.h>
int main ( int argc, char **argv) {
    const char *str = ""abcdefghi"";
    int value = strcmp(str, ""abcdefghi"") == 0;
}
```

What is the purpose ofint value = strcmp(str, ""abcdefghi"") == 0;of such code.
","It initializesvaluewith the result ofstrcmp(str, ""abcdefghi"") == 0which will be0or1depending on whatstrcmpreturns.
"
"I have many native libraries with a C API that contain functionality I want to use in a web app. What choices are out there (frameworks/languages) for doing this?
","To call native C functions from C#, including ASP.Net, use P/Invoke. It exists for exactly that purpose.

Tutorial Here:http://msdn.microsoft.com/en-us/library/aa288468(v=VS.71).aspx
"
"I need to run a command,but that don't lock my application until exit of it,like dosystem()function.
","Usefork()to create a new process, andexec*()to replace it with a new application.
"
"in C, I have to send a bunch of datas with tcp/ip (~6.5mo)
I'm using the ""classic"" send().
Do you think it's a good idea to give to the function the whole size of data to send in one part or should I prefer the chunk way (slices of, for example, 64ko...)
","Give it the full size, and just call it again with the rest of the buffer (according to the return value).

You deal with your logic, let the OS deal with the send logic.
"
"I need to run a command,but that don't lock my application until exit of it,like dosystem()function.
","Usefork()to create a new process, andexec*()to replace it with a new application.
"
"in C, I have to send a bunch of datas with tcp/ip (~6.5mo)
I'm using the ""classic"" send().
Do you think it's a good idea to give to the function the whole size of data to send in one part or should I prefer the chunk way (slices of, for example, 64ko...)
","Give it the full size, and just call it again with the rest of the buffer (according to the return value).

You deal with your logic, let the OS deal with the send logic.
"
